Ward Code,Ward Name,LA Name,Region Name,QS201EW0015,QS201EW0001 (base),Ward Percentage
E05000001,Aldersgate,City of London,London,6,1465,0.4100,
E05000005,Bishopsgate,City of London,,1,222,0.4500,
E05000352,Feltham West,Hounslow,London,938,15541,6.0400,
E05000353,Hanworth,Hounslow,London,668,12155,5.5000,
E05000354,Hanworth Park,Hounslow,London,427,11408,3.7400,
E05000355,Heston Central,Hounslow,London,384,12288,3.1300,
E05000356,Heston East,Hounslow,London,526,12319,4.2700,
E05004936,Princes,Dartford,South East,211,6307,3.3500,
E05000357,Heston West,Hounslow,London,800,12438,6.4300,
E05000358,Hounslow Central,Hounslow,London,483,15169,3.1800,
E05000359,Hounslow Heath,Hounslow,London,647,14727,4.3900,
E05000360,Hounslow South,Hounslow,London,254,11408,2.2300,
E05000315,Hylands,Havering,London,239,12952,1.8500,
E05000361,Hounslow West,Hounslow,London,406,12658,3.2100,
E05004932,Joydens Wood,Dartford,South East,154,7012,2.2000,
E05000312,Harold Wood,Havering,London,338,12650,2.6700,
E05000394,Pembridge,Kensington and Chelsea,London,159,7659,2.0800,
E05000311,Hacton,Havering,London,175,12262,1.4300,
E05000313,Havering Park,Havering,London,467,13000,3.5900,
E05000314,Heaton,Havering,London,907,12570,7.2200,
E05000316,Mawneys,Havering,London,314,12915,2.4300,
E05000317,Pettits,Havering,London,216,12955,1.6700,
E05000318,Rainham and Wennington,Havering,London,672,12482,5.3800,
E05000319,Romford Town,Havering,London,482,15921,3.0300,
E05000320,St Andrew's,Havering,London,178,13334,1.3300,
E05000395,Queen's Gate,Kensington and Chelsea,London,113,9847,1.1500,
E05000396,Redcliffe,Kensington and Chelsea,London,135,9245,1.4600,
E05000397,Royal Hospital,Kensington and Chelsea,London,113,7252,1.5600,
E05000398,St Charles,Kensington and Chelsea,London,670,9343,7.1700,
E05000399,Stanley,Kensington and Chelsea,London,146,8187,1.7800,
E05000030,Eastbrook,Barking and Dagenham,London,1142,10506,10.8700,
E05000370,Clerkenwell,Islington,London,607,11490,5.2800,
E05000362,Isleworth,Hounslow,London,841,11977,7.0200,
E05000363,Osterley and Spring Grove,Hounslow,London,350,13031,2.6900,
E05000364,Syon,Hounslow,London,638,13554,4.7100,
E05000365,Turnham Green,Hounslow,London,231,11448,2.0200,
E05000366,Barnsbury,Islington,London,499,12201,4.0900,
E05000328,Charville,Hillingdon,London,592,12622,4.6900,
E05000367,Bunhill,Islington,London,989,14639,6.7600,
E05000368,Caledonian,Islington,London,888,13896,6.3900,
E05000369,Canonbury,Islington,London,724,12072,6.0000,
E05000371,Finsbury Park,Islington,London,1320,14358,9.1900,
E05000321,South Hornchurch,Havering,London,934,13544,6.9000,
E05000322,Squirrel's Heath,Havering,London,187,13194,1.4200,
E05000323,Upminster,Havering,London,76,12833,0.5900,
E05000324,Barnhill,Hillingdon,London,913,13449,6.7900,
E05000325,Botwell,Hillingdon,London,1349,15034,8.9700,
E05000326,Brunel,Hillingdon,London,770,13841,5.5600,
E05000327,Cavendish,Hillingdon,London,132,11658,1.1300,
E05000329,Eastcote and East Ruislip,Hillingdon,London,57,12142,0.4700,
E05000330,Harefield,Hillingdon,London,100,7399,1.3500,
E05000388,Earl's Court,Kensington and Chelsea,London,286,9104,3.1400,
E05000015,Cripplegate,City of London,London,23,2782,0.8300,
E05000017,Farringdon Within,City of London,London,0,276,0.0000,
