Ward Code,Ward Name,LA Name,Region Name,QS205EW0003,QS205EW0001 (base),Ward Percentage
E05000001,Aldersgate,City of London,London,131,1436,9.1200,
E05000005,Bishopsgate,City of London,,50,220,22.7300,
E05000352,Feltham West,Hounslow,London,1438,14541,9.8900,
E05000353,Hanworth,Hounslow,London,929,11493,8.0800,
E05000354,Hanworth Park,Hounslow,London,895,10824,8.2700,
E05000355,Heston Central,Hounslow,London,2026,11740,17.2600,
E05000356,Heston East,Hounslow,London,2098,11772,17.8200,
E05004936,Princes,Dartford,South East,158,6063,2.6100,
E05000357,Heston West,Hounslow,London,1898,11849,16.0200,
E05000358,Hounslow Central,Hounslow,London,3002,14375,20.8800,
E05000359,Hounslow Heath,Hounslow,London,2577,13948,18.4800,
E05000360,Hounslow South,Hounslow,London,1158,10976,10.5500,
E05000315,Hylands,Havering,London,202,12601,1.6000,
E05000361,Hounslow West,Hounslow,London,2346,12132,19.3400,
E05004932,Joydens Wood,Dartford,South East,87,6793,1.2800,
E05000312,Harold Wood,Havering,London,291,12193,2.3900,
E05000394,Pembridge,Kensington and Chelsea,London,1225,7388,16.5800,
E05000311,Hacton,Havering,London,158,11969,1.3200,
E05000313,Havering Park,Havering,London,222,12534,1.7700,
E05000314,Heaton,Havering,London,297,12070,2.4600,
E05000316,Mawneys,Havering,London,248,12440,1.9900,
E05000317,Pettits,Havering,London,209,12576,1.6600,
E05000318,Rainham and Wennington,Havering,London,260,12015,2.1600,
E05000319,Romford Town,Havering,London,605,15187,3.9800,
E05000320,St Andrew's,Havering,London,190,12954,1.4700,
E05000395,Queen's Gate,Kensington and Chelsea,London,2012,9476,21.2300,
E05004846,Stanborough,Watford,East of England,243,6944,3.5000,
E05000396,Redcliffe,Kensington and Chelsea,London,1882,8899,21.1500,
E05000397,Royal Hospital,Kensington and Chelsea,London,1005,7030,14.3000,
E05000398,St Charles,Kensington and Chelsea,London,957,9032,10.6000,
E05000399,Stanley,Kensington and Chelsea,London,1427,7897,18.0700,
E05000030,Eastbrook,Barking and Dagenham,London,450,10044,4.4800,
