Ward Code,Ward Name,LA Name,Region Name,QS205EW0006,QS205EW0001 (base),Ward Percentage
E05000001,Aldersgate,City of London,London,0,1436,0.0000,
E05000005,Bishopsgate,City of London,,0,220,0.0000,
E05000352,Feltham West,Hounslow,London,46,14541,0.3200,
E05000353,Hanworth,Hounslow,London,65,11493,0.5700,
E05000354,Hanworth Park,Hounslow,London,45,10824,0.4200,
E05000355,Heston Central,Hounslow,London,153,11740,1.3000,
E05000356,Heston East,Hounslow,London,147,11772,1.2500,
E05004936,Princes,Dartford,South East,11,6063,0.1800,
E05000357,Heston West,Hounslow,London,145,11849,1.2200,
E05000358,Hounslow Central,Hounslow,London,151,14375,1.0500,
E05000359,Hounslow Heath,Hounslow,London,167,13948,1.2000,
E05000360,Hounslow South,Hounslow,London,66,10976,0.6000,
E05000315,Hylands,Havering,London,10,12601,0.0800,
E05000361,Hounslow West,Hounslow,London,159,12132,1.3100,
E05004932,Joydens Wood,Dartford,South East,3,6793,0.0400,
E05000312,Harold Wood,Havering,London,9,12193,0.0700,
E05000394,Pembridge,Kensington and Chelsea,London,17,7388,0.2300,
E05000311,Hacton,Havering,London,20,11969,0.1700,
E05000313,Havering Park,Havering,London,9,12534,0.0700,
E05000314,Heaton,Havering,London,25,12070,0.2100,
E05000316,Mawneys,Havering,London,12,12440,0.1000,
E05000317,Pettits,Havering,London,8,12576,0.0600,
E05000318,Rainham and Wennington,Havering,London,12,12015,0.1000,
E05000319,Romford Town,Havering,London,37,15187,0.2400,
E05000320,St Andrew's,Havering,London,21,12954,0.1600,
E05000395,Queen's Gate,Kensington and Chelsea,London,36,9476,0.3800,
E05000396,Redcliffe,Kensington and Chelsea,London,10,8899,0.1100,
E05000397,Royal Hospital,Kensington and Chelsea,London,8,7030,0.1100,
E05000398,St Charles,Kensington and Chelsea,London,30,9032,0.3300,
E05000399,Stanley,Kensington and Chelsea,London,19,7897,0.2400,
E05000030,Eastbrook,Barking and Dagenham,London,21,10044,0.2100,
E05000370,Clerkenwell,Islington,London,37,11160,0.3300,
E05000362,Isleworth,Hounslow,London,77,11359,0.6800,
E05000363,Osterley and Spring Grove,Hounslow,London,74,12434,0.6000,
E05000364,Syon,Hounslow,London,63,12836,0.4900,
E05000365,Turnham Green,Hounslow,London,26,10982,0.2400,
E05000366,Barnsbury,Islington,London,79,11826,0.6700,
E05000328,Charville,Hillingdon,London,62,12066,0.5100,
E05000367,Bunhill,Islington,London,48,14151,0.3400,
E05000368,Caledonian,Islington,London,65,13419,0.4800,
E05000369,Canonbury,Islington,London,56,11618,0.4800,
E05000371,Finsbury Park,Islington,London,117,13735,0.8500,
E05000321,South Hornchurch,Havering,London,22,13056,0.1700,
E05000322,Squirrel's Heath,Havering,London,9,12723,0.0700,
E05000323,Upminster,Havering,London,7,12538,0.0600,
E05000324,Barnhill,Hillingdon,London,134,12792,1.0500,
E05000325,Botwell,Hillingdon,London,157,14209,1.1000,
