Ward Code,Ward Name,LA Name,Region Name,QS303EW0002,QS303EW0001 (base),Ward Percentage
E05000001,Aldersgate,City of London,London,48,1465,3.2800,
E05000005,Bishopsgate,City of London,,2,222,0.9000,
E05000352,Feltham West,Hounslow,London,770,15541,4.9500,
E05000353,Hanworth,Hounslow,London,857,12155,7.0500,
E05000354,Hanworth Park,Hounslow,London,734,11408,6.4300,
E05000355,Heston Central,Hounslow,London,876,12288,7.1300,
E05000356,Heston East,Hounslow,London,811,12319,6.5800,
E05004936,Princes,Dartford,South East,564,6307,8.9400,
E05000357,Heston West,Hounslow,London,959,12438,7.7100,
E05000358,Hounslow Central,Hounslow,London,834,15169,5.5000,
E05000359,Hounslow Heath,Hounslow,London,909,14727,6.1700,
E05000360,Hounslow South,Hounslow,London,631,11408,5.5300,
E05000315,Hylands,Havering,London,915,12952,7.0600,
E05000361,Hounslow West,Hounslow,London,989,12658,7.8100,
E05004932,Joydens Wood,Dartford,South East,452,7012,6.4500,
E05000312,Harold Wood,Havering,London,1067,12650,8.4300,
E05000394,Pembridge,Kensington and Chelsea,London,336,7659,4.3900,
E05000311,Hacton,Havering,London,895,12262,7.3000,
E05000313,Havering Park,Havering,London,1131,13000,8.7000,
E05000314,Heaton,Havering,London,1488,12570,11.8400,
E05000316,Mawneys,Havering,London,1092,12915,8.4600,
E05000317,Pettits,Havering,London,973,12955,7.5100,
E05000318,Rainham and Wennington,Havering,London,982,12482,7.8700,
E05000319,Romford Town,Havering,London,1193,15921,7.4900,
E05000320,St Andrew's,Havering,London,1183,13334,8.8700,
E05000395,Queen's Gate,Kensington and Chelsea,London,222,9847,2.2500,
E05000396,Redcliffe,Kensington and Chelsea,London,334,9245,3.6100,
E05000397,Royal Hospital,Kensington and Chelsea,London,409,7252,5.6400,
E05000398,St Charles,Kensington and Chelsea,London,992,9343,10.6200,
E05000399,Stanley,Kensington and Chelsea,London,455,8187,5.5600,
E05000030,Eastbrook,Barking and Dagenham,London,908,10506,8.6400,
E05000370,Clerkenwell,Islington,London,834,11490,7.2600,
E05000362,Isleworth,Hounslow,London,922,11977,7.7000,
E05000363,Osterley and Spring Grove,Hounslow,London,646,13031,4.9600,
E05000364,Syon,Hounslow,London,881,13554,6.5000,
E05000365,Turnham Green,Hounslow,London,679,11448,5.9300,
E05000366,Barnsbury,Islington,London,911,12201,7.4700,
E05000328,Charville,Hillingdon,London,827,12622,6.5500,
E05000367,Bunhill,Islington,London,919,14639,6.2800,
E05000368,Caledonian,Islington,London,1270,13896,9.1400,
E05000369,Canonbury,Islington,London,1067,12072,8.8400,
E05000371,Finsbury Park,Islington,London,1430,14358,9.9600,
E05000321,South Hornchurch,Havering,London,1164,13544,8.5900,
E05000322,Squirrel's Heath,Havering,London,854,13194,6.4700,
E05000323,Upminster,Havering,London,923,12833,7.1900,
E05000324,Barnhill,Hillingdon,London,934,13449,6.9400,
E05000325,Botwell,Hillingdon,London,1116,15034,7.4200,
E05000326,Brunel,Hillingdon,London,883,13841,6.3800,
E05000327,Cavendish,Hillingdon,London,708,11658,6.0700,
E05000329,Eastcote and East Ruislip,Hillingdon,London,655,12142,5.3900,
E05000330,Harefield,Hillingdon,London,642,7399,8.6800,
E05000388,Earl's Court,Kensington and Chelsea,London,567,9104,6.2300,
E05000015,Cripplegate,City of London,London,156,2782,5.6100,
E05000017,Farringdon Within,City of London,London,4,276,1.4500,
E05000018,Farringdon Without,City of London,London,19,1099,1.7300,
E05000462,Hillside,Merton,London,363,8977,4.0400,
E05000463,Lavender Fields,Merton,London,557,10273,5.4200,
E05000044,Burnt Oak,Barnet,London,1499,18217,8.2300,
E05000036,Mayesbrook,Barking and Dagenham,London,986,10342,9.5300,
E05000379,St Mary's,Islington,London,895,11553,7.7500,
E05004077,Pilgrims Hatch,Brentwood,East of England,566,5963,9.4900,
E05000376,Junction,Islington,London,1019,12025,8.4700,
E05000372,Highbury East,Islington,London,793,11634,6.8200,
E05000373,Highbury West,Islington,London,921,15030,6.1300,
E05000374,Hillrise,Islington,London,1058,11794,8.9700,
E05000375,Holloway,Islington,London,1263,14983,8.4300,
E05000378,St George's,Islington,London,988,12400,7.9700,
E05000377,Mildmay,Islington,London,1023,12917,7.9200,
E05000380,St Peter's,Islington,London,967,11822,8.1800,
E05000381,Tollington,Islington,London,1184,13311,8.8900,
E05000037,Parsloes,Barking and Dagenham,London,981,9839,9.9700,
E05000400,Alexandra,Kingston upon Thames,London,467,9246,5.0500,
E05000331,Heathrow Villages,Hillingdon,London,633,12199,5.1900,
E05000332,Hillingdon East,Hillingdon,London,823,12906,6.3800,
E05000333,Ickenham,Hillingdon,London,627,10387,6.0400,
E05000401,Berrylands,Kingston upon Thames,London,588,9437,6.2300,
E05000334,Manor,Hillingdon,London,673,11442,5.8800,
E05000335,Northwood,Hillingdon,London,771,10469,7.3600,
E05000336,Northwood Hills,Hillingdon,London,795,11578,6.8700,
E05000337,Pinkwell,Hillingdon,London,882,14767,5.9700,
E05000338,South Ruislip,Hillingdon,London,729,12364,5.9000,
E05000339,Townfield,Hillingdon,London,1102,14106,7.8100,
E05000340,Uxbridge North,Hillingdon,London,812,12048,6.7400,
E05000029,Chadwell Heath,Barking and Dagenham,London,980,10021,9.7800,
E05000021,Portsoken,City of London,London,95,985,9.6400,
E05000022,Queenhithe,City of London,,3,319,0.9400,
E05000023,Tower,City of London,London,1,227,0.4400,
E05000026,Abbey,Barking and Dagenham,London,653,12786,5.1100,
E05000027,Alibon,Barking and Dagenham,London,911,10385,8.7700,
E05000028,Becontree,Barking and Dagenham,London,1013,11545,8.7700,
