Ward Code,Ward Name,LA Name,Region Name,QS601EW0011,QS601EW0001 (base),Ward Percentage
E05000001,Aldersgate,City of London,London,257,1221,21.0500,
E05000005,Bishopsgate,City of London,,34,215,15.8100,
E05000352,Feltham West,Hounslow,London,2833,11266,25.1500,
E05000353,Hanworth,Hounslow,London,2579,8586,30.0400,
E05000354,Hanworth Park,Hounslow,London,2246,8392,26.7600,
E05007320,Fetcham East,Mole Valley,South East,849,2722,31.1900,
E05000355,Heston Central,Hounslow,London,2819,9101,30.9700,
E05002242,Stanford East and Corringham Town,Thurrock,East of England,2093,6151,34.0300,
E05000356,Heston East,Hounslow,London,2852,9276,30.7500,
E05004936,Princes,Dartford,South East,1326,4471,29.6600,
E05000357,Heston West,Hounslow,London,3114,9031,34.4800,
E05000358,Hounslow Central,Hounslow,London,3007,11692,25.7200,
E05000359,Hounslow Heath,Hounslow,London,3152,10846,29.0600,
E05000360,Hounslow South,Hounslow,London,2219,8507,26.0800,
E05007264,St George's Hill,Elmbridge,South East,1305,4597,28.3900,
E05000315,Hylands,Havering,London,2564,9652,26.5600,
E05007316,"Capel, Leigh and Newdigate",Mole Valley,South East,868,3217,26.9800,
E05000361,Hounslow West,Hounslow,London,2805,9814,28.5800,
E05004932,Joydens Wood,Dartford,South East,1458,4896,29.7800,
E05007251,Claygate,Elmbridge,South East,1433,4908,29.2000,
E05000312,Harold Wood,Havering,London,2710,9346,29.0000,
E05000394,Pembridge,Kensington and Chelsea,London,1544,6220,24.8200,
E05000311,Hacton,Havering,London,2578,9024,28.5700,
E05000313,Havering Park,Havering,London,2923,9286,31.4800,
E05000314,Heaton,Havering,London,2980,8730,34.1400,
E05000316,Mawneys,Havering,London,2692,9210,29.2300,
E05000317,Pettits,Havering,London,2757,9358,29.4600,
E05000318,Rainham and Wennington,Havering,London,2677,9104,29.4000,
E05000319,Romford Town,Havering,London,2972,11919,24.9300,
E05000320,St Andrew's,Havering,London,2659,9643,27.5700,
E05000395,Queen's Gate,Kensington and Chelsea,London,2605,8036,32.4200,
E05004972,Northfleet South,Gravesham,South East,1452,5488,26.4600,
E05004859,Howlands,Welwyn Hatfield,East of England,960,4063,23.6300,
E05004846,Stanborough,Watford,East of England,1225,5215,23.4900,
E05000396,Redcliffe,Kensington and Chelsea,London,1908,7492,25.4700,
E05000397,Royal Hospital,Kensington and Chelsea,London,1590,5590,28.4400,
E05000398,St Charles,Kensington and Chelsea,London,2336,7101,32.9000,
E05000399,Stanley,Kensington and Chelsea,London,1796,6446,27.8600,
E05000030,Eastbrook,Barking and Dagenham,London,2193,7456,29.4100,
E05000370,Clerkenwell,Islington,London,3185,9596,33.1900,
E05000362,Isleworth,Hounslow,London,2391,8850,27.0200,
E05000363,Osterley and Spring Grove,Hounslow,London,2459,9974,24.6500,
E05000364,Syon,Hounslow,London,2630,10366,25.3700,
E05000365,Turnham Green,Hounslow,London,2077,8986,23.1100,
E05000366,Barnsbury,Islington,London,2863,9869,29.0100,
E05000328,Charville,Hillingdon,London,2579,9001,28.6500,
E05000367,Bunhill,Islington,London,4230,12103,34.9500,
E05000368,Caledonian,Islington,London,3887,11219,34.6500,
E05000369,Canonbury,Islington,London,2614,9412,27.7700,
E05000371,Finsbury Park,Islington,London,3349,11158,30.0100,
E05002289,Aldermaston,West Berkshire,South East,543,2125,25.5500,
E05005022,Leigh and Chiddingstone Causeway,Sevenoaks,South East,449,1598,28.1000,
E05000321,South Hornchurch,Havering,London,2855,9591,29.7700,
E05000322,Squirrel's Heath,Havering,London,2516,9812,25.6400,
E05002276,Crown Wood,Bracknell Forest,South East,1032,6030,17.1100,
E05000323,Upminster,Havering,London,2658,9112,29.1700,
E05000324,Barnhill,Hillingdon,London,2991,9594,31.1800,
E05005009,"Brasted, Chevening and Sundridge",Sevenoaks,South East,1291,4448,29.0200,
E05000325,Botwell,Hillingdon,London,3370,10677,31.5600,
E05000326,Brunel,Hillingdon,London,4116,10943,37.6100,
E05000327,Cavendish,Hillingdon,London,2106,8348,25.2300,
E05000329,Eastcote and East Ruislip,Hillingdon,London,2481,8785,28.2400,
E05002272,Binfield with Warfield,Bracknell Forest,South East,1242,6439,19.2900,
E05000330,Harefield,Hillingdon,London,1400,5323,26.3000,
E05005004,Shepway South,Maidstone,South East,1424,4046,35.2000,
E05004976,Riverview,Gravesham,South East,840,3210,26.1700,
E05002259,Rainham North,Medway,South East,1835,6193,29.6300,
E05004990,Downswood and Otham,Maidstone,South East,384,2106,18.2300,
E05002246,Tilbury Riverside and Thurrock Park,Thurrock,East of England,1398,4730,29.5600,
E05007343,Reigate Hill,Reigate and Banstead,South East,1009,3822,26.4000,
E05000388,Earl's Court,Kensington and Chelsea,London,2256,7787,28.9700,
E05007330,"Chipstead, Hooley and Woodmansterne",Reigate and Banstead,South East,1562,6381,24.4800,
E05000015,Cripplegate,City of London,London,550,2298,23.9300,
E05000017,Farringdon Within,City of London,London,35,227,15.4200,
E05000018,Farringdon Without,City of London,London,157,1044,15.0400,
E05000462,Hillside,Merton,London,1513,7063,21.4200,
E05004458,Winklebury,Basingstoke and Deane,South East,1209,4561,26.5100,
E05004445,Norden,Basingstoke and Deane,South East,1532,6400,23.9400,
E05004454,Tadley Central,Basingstoke and Deane,South East,519,2004,25.9000,
E05000463,Lavender Fields,Merton,London,1916,7881,24.3100,
E05004441,Grove,Basingstoke and Deane,South East,1024,4388,23.3400,
E05000044,Burnt Oak,Barnet,London,4096,12909,31.7300,
E05000036,Mayesbrook,Barking and Dagenham,London,2357,6988,33.7300,
E05000379,St Mary's,Islington,London,2328,9503,24.5000,
E05004077,Pilgrims Hatch,Brentwood,East of England,1291,4346,29.7100,
E05000376,Junction,Islington,London,2729,9611,28.3900,
E05000372,Highbury East,Islington,London,2124,9128,23.2700,
E05000373,Highbury West,Islington,London,2769,12330,22.4600,
E05000374,Hillrise,Islington,London,2797,9114,30.6900,
E05000375,Holloway,Islington,London,3788,12062,31.4000,
E05000378,St George's,Islington,London,2817,9911,28.4200,
E05000377,Mildmay,Islington,London,2756,10078,27.3500,
E05000380,St Peter's,Islington,London,2547,9546,26.6800,
E05000381,Tollington,Islington,London,2878,10509,27.3900,
E05004073,Hutton East,Brentwood,East of England,620,2540,24.4100,
E05000037,Parsloes,Barking and Dagenham,London,2317,6718,34.4900,
E05000400,Alexandra,Kingston upon Thames,London,1807,6674,27.0800,
